cluster,n_patients,feature,roi,rho,p,n,signed_log10p,subcortical
0,12,Z,ctx_lh_posteriorcingulate,-0.2937062937062937,0.35414764123292175,12,-0.4508156464335365,False
0,12,Z,ctx_lh_precentral,0.07692307692307693,0.8121826980280591,12,0.09034626654627316,False
0,12,Z,ctx_lh_precuneus,-0.013986013986013986,0.9655902689187795,12,-0.01520711964659393,False
0,12,Z,ctx_lh_rostralanteriorcingulate,-0.04195804195804196,0.8969858708195542,12,-0.04721439784044483,False
0,12,Z,ctx_lh_rostralmiddlefrontal,-0.1958041958041958,0.5419358857313175,12,-0.26605209006699926,False
0,12,Z,ctx_lh_superiorfrontal,-0.06293706293706294,0.8459309212287789,12,-0.07266510002722608,False
0,12,Z,ctx_lh_superiorparietal,0.11188811188811189,0.729194990751066,12,0.13715632341893025,False
0,12,Z,ctx_lh_superiortemporal,0.37762237762237766,0.22620604493502663,12,0.6454957935447486,False
0,12,Z,ctx_lh_supramarginal,0.16083916083916086,0.6175234895401425,12,0.20934651793284345,False
0,12,Z,ctx_lh_temporalpole,0.31468531468531474,0.31913878550330455,12,0.49602041201939817,False
0,12,Z,ctx_lh_transversetemporal,0.2937062937062937,0.35414764123292175,12,0.4508156464335365,False
0,12,Z,ctx_rh_bankssts,0.0,1.0,12,-0.0,False
0,12,Z,ctx_rh_caudalanteriorcingulate,-0.10489510489510491,0.7456094809807079,12,-0.12748857824068238,False
0,12,Z,ctx_rh_caudalmiddlefrontal,-0.04895104895104895,0.8799185788786749,12,-0.05555751237217404,False
0,12,Z,ctx_rh_cuneus,0.3076923076923077,0.3305892594121097,12,0.4807112604252688,False
0,12,Z,ctx_rh_entorhinal,0.5524475524475525,0.06251148327961512,12,1.2040401959858655,False
0,12,Z,ctx_rh_frontalpole,0.4055944055944056,0.19083587400450033,12,0.7193399817402794,False
0,12,Z,ctx_rh_fusiform,0.10489510489510491,0.7456094809807079,12,0.12748857824068238,False
0,12,Z,ctx_rh_inferiorparietal,0.0,1.0,12,-0.0,False
0,12,Z,ctx_rh_inferiortemporal,0.25874125874125875,0.41677476889913834,12,0.3800985806383651,False
0,12,Z,ctx_rh_insula,0.15384615384615385,0.6330906812462618,12,0.19853407901227083,False
0,12,Z,ctx_rh_isthmuscingulate,-0.18881118881118883,0.5567370561768314,12,-0.2543498712787897,False
0,12,Z,ctx_rh_lateraloccipital,-0.1188811188811189,0.712884219214772,12,-0.14698099895484662,False
0,12,Z,ctx_rh_lateralorbitofrontal,0.44755244755244755,0.14458630130334754,12,0.8398728519252052,False
0,12,Z,ctx_rh_lingual,-0.034965034965034975,0.9140933424107598,12,-0.03900945413041206,False
0,12,Z,ctx_rh_medialorbitofrontal,0.1958041958041958,0.5419358857313175,12,0.26605209006699926,False
0,12,Z,ctx_rh_middletemporal,0.23076923076923078,0.470531995381542,12,0.3274108399408542,False
0,12,Z,ctx_rh_paracentral,0.07692307692307693,0.8121826980280591,12,0.09034626654627316,False
0,12,Z,ctx_rh_parahippocampal,0.06993006993006995,0.8290236405313092,12,0.0814330848828885,False
0,12,Z,ctx_rh_parsopercularis,0.14685314685314685,0.6487957097846664,12,0.18789203059561477,False
0,12,Z,ctx_rh_parsorbitalis,0.7902097902097903,0.0022231354099909208,12,2.6530340838503395,False
0,12,Z,ctx_rh_parstriangularis,0.43356643356643365,0.1591057694121953,12,0.7983140719030672,False
0,12,Z,ctx_rh_pericalcarine,-0.2027972027972028,0.5273023541661082,12,-0.27794028973611035,False
0,12,Z,ctx_rh_postcentral,0.15384615384615385,0.6330906812462618,12,0.19853407901227083,False
0,12,Z,ctx_rh_posteriorcingulate,-0.16783216783216784,0.602099427786538,12,-0.2203317855303825,False
0,12,Z,ctx_rh_precentral,-0.006993006993006993,0.9827917689028476,12,-0.007538489488500038,False
0,12,Z,ctx_rh_precuneus,0.1188811188811189,0.712884219214772,12,0.14698099895484662,False
0,12,Z,ctx_rh_rostralanteriorcingulate,-0.04895104895104895,0.8799185788786749,12,-0.05555751237217404,False
0,12,Z,ctx_rh_rostralmiddlefrontal,-0.14685314685314685,0.6487957097846664,12,-0.18789203059561477,False
0,12,Z,ctx_rh_superiorfrontal,-0.0979020979020979,0.762121655996299,12,-0.11797569754396606,False
0,12,Z,ctx_rh_superiorparietal,0.25874125874125875,0.41677476889913834,12,0.3800985806383651,False
0,12,Z,ctx_rh_superiortemporal,0.27272727272727276,0.3910967709418962,12,0.4077157697494941,False
0,12,Z,ctx_rh_supramarginal,0.23076923076923078,0.470531995381542,12,0.3274108399408542,False
0,12,Z,ctx_rh_temporalpole,0.5104895104895105,0.08991373630263913,12,1.0461739551552438,False
0,12,Z,ctx_rh_transversetemporal,0.034965034965034975,0.9140933424107598,12,0.03900945413041206,False
1,14,Z,Left_Accumbens_area,-0.0857142857142857,0.7707850311186757,14,-0.11306672806651169,True
1,14,Z,Left_Amygdala,-0.1032967032967033,0.725282211088945,14,-0.13949297429704627,True
1,14,Z,Left_Caudate,-0.14285714285714285,0.6261174762253241,14,-0.20334417399431506,True
1,14,Z,Left_Cerebellum_Cortex,-0.054945054945054944,0.8520077036323677,14,-0.06955647843763954,True
1,14,Z,Left_Hippocampus,-0.1824175824175824,0.5325088185186945,14,-0.27367319577223737,True
1,14,Z,Left_Pallidum,-0.24835164835164836,0.39191953893845743,14,-0.40680308446365054,True
1,14,Z,Left_Putamen,-0.1956043956043956,0.5027500912969567,14,-0.29864784186546034,True
1,14,Z,Left_Thalamus,0.16483516483516483,0.5733464050131383,14,0.2415829062533454,True
